,number,value,datetime_start,datetime_complete,duration,params_iss,params_lr,params_ridge,params_sr,state
0,0,0.03597362082092555,2024-01-04 01:02:37.831543,2024-01-04 02:25:58.254045,0 days 01:23:20.422502,0.538315085194172,0.001834494597342162,1.9678959857815732e-07,0.8935135987103595,COMPLETE
1,1,0.005071893162212188,2024-01-04 01:02:37.958270,2024-01-04 02:25:06.671917,0 days 01:22:28.713647,0.9332055587053429,0.017164834011260826,0.0009061414063763796,0.6219088500527278,COMPLETE
2,2,0.0025224477829260505,2024-01-04 01:02:38.098546,2024-01-04 02:23:26.089388,0 days 01:20:47.990842,0.032867095082850906,0.18071089416046798,3.581198225049582e-09,1.317843784903364,COMPLETE
3,3,0.0028775815448149043,2024-01-04 01:02:38.102190,2024-01-04 02:25:36.623946,0 days 01:22:58.521756,0.34294876348630543,0.246062951346777,1.3455510234569633e-09,0.5430963440423435,COMPLETE
4,4,0.0031653734728067117,2024-01-04 01:02:38.148436,2024-01-04 02:23:58.150138,0 days 01:21:20.001702,0.4024942037506183,0.34909251617892423,2.0173381370680307e-05,0.021985106559712395,COMPLETE
5,5,0.0032686914010797157,2024-01-04 01:02:38.173997,2024-01-04 02:23:32.445791,0 days 01:20:54.271794,0.24641376505323265,0.06215000557966594,5.966884628480971e-08,0.45578836376442367,COMPLETE
6,6,0.10606984881019736,2024-01-04 01:02:38.002300,2024-01-04 02:25:08.045635,0 days 01:22:30.043335,0.06587422152071731,0.39094591671528167,2.7595603548296097e-06,1.7277956376290131,COMPLETE
7,7,166.58986529634697,2024-01-04 01:02:38.374827,2024-01-04 02:25:57.008468,0 days 01:23:18.633641,0.08402287377074513,0.021019787631703545,3.4315896488107537e-07,6.402046638182789,COMPLETE
