shift_hour,Amplitude_Column1,Amplitude_Column2,Amplitude_Column3,StdDev_Column1,StdDev_Column2,StdDev_Column3
-12,6.1766138607027194,6.293604381655303,1.0009117748888485,1.6171429677211464,1.5294859991148582,0.3536601769567797
-11,6.200174704251547,6.382604845151512,1.0874883995600317,1.7583238292856491,1.670040396976552,0.3500902788055859
-10,6.268441260564327,6.515534850042176,1.0845730967523846,1.9247998762398308,1.8375156731033024,0.35030517217925594
-9,6.313601551606428,6.581249395184525,1.0436502693971463,2.045354357115778,1.9665595440839279,0.3503572702518476
-8,6.334441328182514,6.655588943088981,1.0275418278597266,2.128106163151088,2.0622643791604336,0.3514466497827156
-7,6.404646812130679,6.665058550155907,1.0204620545969023,2.1820936765097056,2.1361150934729243,0.3512629323457329
-6,6.35555256035367,6.69056091325816,1.0074569693062188,2.219015294048478,2.1967613589546757,0.3520412141709776
-5,6.493960342903522,6.700043395544315,1.038001602745366,2.236044703703379,2.2360143683401787,0.352511867054494
-4,6.501583745442349,6.70275263530715,1.0103315781803328,2.240265682314737,2.2611749035898128,0.35273611021191914
-3,6.42275312427558,6.704134047498903,1.0015041799448514,2.2297002366724517,2.274764706001373,0.3531495637594078
-2,6.339228783148487,6.695917213304416,1.0022831823384823,2.2059105288729928,2.2761421396898642,0.35331179837530813
-1,6.1934082375578505,6.62007086680513,1.0008124346317462,2.167932961921999,2.259605842578902,0.35326579015167436
0,5.980303716016893,6.4664124493492015,1.0000004429100715,2.115294945763548,2.227377259882504,0.3536822833140793
1,5.888061861033979,6.38314794072442,1.0279761848230557,2.044637078216809,2.174946785264084,0.3537578896306981
2,5.771055437248633,6.278343184594942,1.0454976609200308,1.9494561329399744,2.0917950046592275,0.353317055602299
3,5.637742072155666,6.144220726334577,1.0294361461239698,1.8292455703515609,1.9800899971806638,0.3531539651687071
4,5.473568452465935,5.989262337174171,1.0092353876811435,1.6757249871180018,1.8297672931848006,0.3527855495693538
5,5.3815081701286385,5.836593604610588,1.0237371713155095,1.5050146267703886,1.652621952830292,0.35180685596626143
6,5.33036125772927,5.747941946650054,1.0174782467236179,1.3496008987384254,1.4819753024967777,0.3522182761949479
7,5.466688765538565,5.691649388514846,1.0374226786270304,1.2420867051330993,1.351078272485442,0.3518912127885868
8,5.77073936519768,6.044485614997472,1.0603122525491955,1.3536597026214972,1.4225982215974662,0.351213599918344
9,5.955273041139812,6.152693607551823,1.0780749824976272,1.3022711884739517,1.3350460472770311,0.35100357620673456
10,5.760952708163541,5.81113900235328,1.0513628197504037,1.2158632254403323,1.2205186036084283,0.3501859179584749
11,5.9160000165041975,5.984797835281485,1.0678993318800272,1.3503416454238493,1.3116043546121228,0.34985659515859635
12,6.178823834083604,6.296551283495168,1.0008495570142466,1.617193534339722,1.5296371759858354,0.35365934514949127
