shift_hour,Amplitude_Column1,Amplitude_Column2,Amplitude_Column3,StdDev_Column1,StdDev_Column2,StdDev_Column3
-12,14.287087724632494,6.775130214741155,23.51875377202279,1.1552585216666826,0.5550826804310053,2.389876723354004
-11,15.213763402118937,7.7748087679712015,31.624595847602187,1.62875004622316,0.7149261590379911,3.3564096988207264
-10,11.254210940300974,9.667436867592045,22.67623691457787,1.504595123480846,0.7092528684310007,3.2592587010158725
-9,15.209443779082202,9.618245848742461,31.44818823670309,2.8576335966861324,1.2927419011184893,5.745330652999181
-8,15.694189224881988,9.974815826926573,34.10749633270012,3.6785824451146536,1.6223039103396832,7.420767225840293
-7,15.744032220563266,9.266536740722819,35.19681660534823,4.357691889567947,1.8404119316985932,8.683243931795152
-6,15.728700348018453,9.725895492186826,34.84971791952552,4.186004463787977,1.7775842057063016,8.375916078712121
-5,8.5645794788191,10.218595464046935,9.028137829623006,2.275963329074414,2.2512198243723676,0.6055035469259109
-4,14.192021284299791,8.740159069860946,25.706045755175065,3.574601703882703,1.6992299501050598,7.145275851921539
-3,6.648105621070055,6.760171514824044,2.190586315281834,2.224287926595287,2.269492784538161,0.38052302547715433
-2,6.4556209105839955,6.8199944537290165,1.8776291636277307,2.2118818958260946,2.28478012959272,0.3633189244312859
-1,6.261075534169327,6.803887513981351,1.3526191577306008,2.1860377913889817,2.2831587957498933,0.3258437064628077
0,6.05851075380773,6.6215486291151535,0.8836274492427236,2.1378418888788633,2.249297147503262,0.27198983532601523
1,5.91200631839134,6.452945797813733,0.8909082481791442,2.0524565200332114,2.1715361029366913,0.23476044804007665
2,5.721534297587979,6.210622765056818,0.9760711887233811,1.9176884305930546,2.045184494600936,0.260059824991859
3,5.571589877971794,5.962380556329407,1.249191790095793,1.7488770814550474,1.8834028258491473,0.3130216461306442
4,5.577504541909537,5.945861622021077,1.3135577094411133,1.6329437576928025,1.7751680919126809,0.3350897124865666
5,11.617862346480825,7.665634825578842,18.61016370237843,3.894351783929912,2.0024923570150444,6.975347205906443
6,5.726337073627846,6.037464915517496,1.5778936907573637,1.4311665175924813,1.5485815816035535,0.3486611305288809
7,13.073113056637819,10.731358406245265,25.629094795767372,3.5779365346608807,2.084674567383406,5.857421824869859
8,15.720195717679726,8.164138386755074,35.06343822586524,6.645151602207931,2.676841401989098,13.08168296351096
9,15.709887084495946,12.140890645476539,35.53148836195925,3.920836656563909,1.7302141929508026,7.955686560571357
10,11.37990675061021,10.354433842677734,28.486865545687746,1.3641852031004433,0.6619350781961166,2.956620428935155
11,15.711237109247733,10.684484357974195,35.34138611793003,3.5887768622917244,1.5609582575877106,7.293279537932731
12,14.663997313140847,6.670702193749378,25.916271827819855,1.2005795032770545,0.5601442509390081,2.461905668471274
