,number,value,datetime_start,datetime_complete,duration,params_iss,params_lr,params_ridge,params_sr,state
0,0,0.008212850948042139,2023-12-29 02:54:34.835188,2023-12-29 03:48:33.547160,0 days 00:53:58.711972,0.9274810881671666,0.0034282222819097784,6.6313059691473385e-09,0.034770818457376,COMPLETE
1,1,316.1171404934793,2023-12-29 02:54:34.999716,2023-12-29 03:47:56.654764,0 days 00:53:21.655048,0.5354727402151616,0.01108567705023902,8.308042519012047e-08,5.7460277144558445,COMPLETE
2,2,239.2041351758976,2023-12-29 02:54:35.014635,2023-12-29 03:48:30.219957,0 days 00:53:55.205322,0.24391933581129066,0.05125322195802762,2.4632673842191778e-08,2.570676965666081,COMPLETE
3,3,3.8060415060627544,2023-12-29 02:54:34.898627,2023-12-29 03:49:10.756848,0 days 00:54:35.858221,0.2586029499976591,0.034019506988216916,0.0015451568098717602,5.1134331607930275,COMPLETE
4,4,4.860827849505473,2023-12-29 02:54:35.059830,2023-12-29 03:47:40.564729,0 days 00:53:05.504899,0.2752777099871594,0.0011144575695083594,2.0266310764105884e-07,1.1338200048649167,COMPLETE
5,5,0.018376446061356747,2023-12-29 02:54:35.064739,2023-12-29 03:49:01.421124,0 days 00:54:26.356385,0.69020702994618,0.608698501016565,7.404338841456392e-08,3.8468414336753862,COMPLETE
6,6,0.0032703776845715384,2023-12-29 02:54:34.893334,2023-12-29 03:48:58.306542,0 days 00:54:23.413208,0.18351453964158593,0.24046494606440075,0.00018745733925533038,0.1779823932749788,COMPLETE
7,7,4.6195379601439654,2023-12-29 02:54:35.195183,2023-12-29 03:49:46.511844,0 days 00:55:11.316661,0.35688921389357264,0.047065604622467914,1.5336508667098366e-06,6.060720197235922,COMPLETE
